split,model,stage,activity_TV_count,activity_TV_mean,activity_TV_std,activity_TV_median,trace_length_TV_count,trace_length_TV_mean,trace_length_TV_std,trace_length_TV_median,dfg_TV_count,dfg_TV_mean,dfg_TV_std,dfg_TV_median,positive_gap_adjacent_TV_count,positive_gap_adjacent_TV_mean,positive_gap_adjacent_TV_std,positive_gap_adjacent_TV_median,variant_TV_count,variant_TV_mean,variant_TV_std,variant_TV_median,timestamp_block_variant_TV_count,timestamp_block_variant_TV_mean,timestamp_block_variant_TV_std,timestamp_block_variant_TV_median,edge_set_jaccard_count,edge_set_jaccard_mean,edge_set_jaccard_std,edge_set_jaccard_median,unseen_synthetic_edge_mass_count,unseen_synthetic_edge_mass_mean,unseen_synthetic_edge_mass_std,unseen_synthetic_edge_mass_median,all_event_offset_wasserstein_h_count,all_event_offset_wasserstein_h_mean,all_event_offset_wasserstein_h_std,all_event_offset_wasserstein_h_median,all_event_offset_ks_D_count,all_event_offset_ks_D_mean,all_event_offset_ks_D_std,all_event_offset_ks_D_median,all_event_offset_median_relative_error_pct_count,all_event_offset_median_relative_error_pct_mean,all_event_offset_median_relative_error_pct_std,all_event_offset_median_relative_error_pct_median,all_event_offset_p95_relative_error_pct_count,all_event_offset_p95_relative_error_pct_mean,all_event_offset_p95_relative_error_pct_std,all_event_offset_p95_relative_error_pct_median,all_event_offset_p99_relative_error_pct_count,all_event_offset_p99_relative_error_pct_mean,all_event_offset_p99_relative_error_pct_std,all_event_offset_p99_relative_error_pct_median,sequence_copy_rate_count,sequence_copy_rate_mean,sequence_copy_rate_std,sequence_copy_rate_median,trace_copy_rate_count,trace_copy_rate_mean,trace_copy_rate_std,trace_copy_rate_median,exact_trace_copy_rate_count,exact_trace_copy_rate_mean,exact_trace_copy_rate_std,exact_trace_copy_rate_median,median_dcr_synthetic_count,median_dcr_synthetic_mean,median_dcr_synthetic_std,median_dcr_synthetic_median,median_dcr_holdout_count,median_dcr_holdout_mean,median_dcr_holdout_std,median_dcr_holdout_median,dcr_ratio_count,dcr_ratio_mean,dcr_ratio_std,dcr_ratio_median,share_synthetic_dcr_zero_count,share_synthetic_dcr_zero_mean,share_synthetic_dcr_zero_std,share_synthetic_dcr_zero_median
none,independent,post,30,0.0010321600694941423,0.0002064190032036182,0.0010692181871723681,30,0.019022924438222278,0.008361244052396122,0.018272612400620267,30,0.6916690123598758,0.019656169169874154,0.6905030223841552,30,0.702006106838018,0.018885474252510474,0.7050238461274532,30,0.4434291509320396,0.01090773236646481,0.4432117285203595,30,0.4561675996080623,0.010847439925156794,0.45568892805694194,30,0.3613195640780449,0.025101454958216182,0.36,30,0.43058895861348134,0.021923361649060565,0.4253452910641453,30,4.148689435109209,1.1976169845006943,3.989569370122756,30,0.026385416375011253,0.0023889180080851774,0.026242610737321686,30,0.5507512229210374,0.5987259157758597,0.4022536687631112,30,0.7173141703188202,0.8633051795718025,0.5021590616138384,30,-22.844338115955328,10.319727558478613,-22.53338975751757,30,0.7211657850776482,0.012014939234972726,0.7185191899050324,30,0.4267068399671199,0.01278993805304675,0.42468534719923984,30,0.00186365639509523,0.0014992670583576708,0.0015478167125238937,30,0.13899399498464476,0.02933279697923235,0.1351272597746044,0,,,,0,,,,30,0.00186365639509523,0.0014992670583576708,0.0015478167125238937
none,independent,pre,30,0.0010321600694941423,0.0002064190032036182,0.0010692181871723681,30,0.019022924438222278,0.008361244052396122,0.018272612400620267,30,0.6916690123598758,0.019656169169874154,0.6905030223841552,30,0.702006106838018,0.018885474252510474,0.7050238461274532,30,0.4434291509320396,0.01090773236646481,0.4432117285203595,30,0.4561675996080623,0.010847439925156794,0.45568892805694194,30,0.3613195640780449,0.025101454958216182,0.36,30,0.43058895861348134,0.021923361649060565,0.4253452910641453,30,15.494141293889856,2.1400646889437733,15.698914790467086,30,0.166647595794612,0.01410563914398401,0.16622635465835614,30,61.81472746331237,7.512818241615946,61.965408805031444,30,-38.862031666237,6.707812792882854,-38.87691737561225,30,-32.96593527546826,13.442501124549631,-33.96153403883348,30,0.7211657850776482,0.012014939234972726,0.7185191899050324,30,0.4267068399671199,0.01278993805304675,0.42468534719923984,30,0.00186365639509523,0.0014992670583576708,0.0015478167125238937,30,0.13899399498464476,0.02933279697923235,0.1351272597746044,0,,,,0,,,,30,0.00186365639509523,0.0014992670583576708,0.0015478167125238937
none,markov,post,30,0.0010321600694941423,0.0002064190032036182,0.0010692181871723681,30,0.019022924438222278,0.008361244052396122,0.018272612400620267,30,0.14015114723647829,0.012645356058945114,0.14073888852550648,30,0.19779176706560087,0.01879100879058157,0.19521993659685172,30,0.13279640872499676,0.009787373843278803,0.13469872019294354,30,0.14748851498215482,0.009696908798741572,0.15067719093848442,30,0.5502311170151762,0.04928966477701631,0.563508064516129,30,0.0660059441575835,0.012369612148846857,0.06705005449881277,30,4.362516853417317,1.0466927002403663,4.536846148042593,30,0.026898104785561944,0.0027941124221085843,0.02713994031527115,30,0.5230607966457048,0.5872032017304708,0.30791404612159534,30,0.8560520323107418,1.383425349817799,0.3309100283577814,30,-25.5172932700968,8.932233436199544,-25.45924409631769,30,0.9177478605443976,0.007230180599795332,0.9175182021952871,30,0.5477325241988821,0.012492468876281606,0.5476681273015285,30,0.002336082344182692,0.0015744826257534411,0.0020314885889975653,30,0.04376016333398645,0.0047227056344343165,0.04337591414176667,0,,,,0,,,,30,0.002336082344182692,0.0015744826257534411,0.0020314885889975653
none,markov,pre,30,0.0010321600694941423,0.0002064190032036182,0.0010692181871723681,30,0.019022924438222278,0.008361244052396122,0.018272612400620267,30,0.14015114723647829,0.012645356058945114,0.14073888852550648,30,0.19779176706560087,0.01879100879058157,0.19521993659685172,30,0.13279640872499676,0.009787373843278803,0.13469872019294354,30,0.14748851498215482,0.009696908798741572,0.15067719093848442,30,0.5502311170151762,0.04928966477701631,0.563508064516129,30,0.0660059441575835,0.012369612148846857,0.06705005449881277,30,16.390495074796156,1.9663264449133848,16.27050305701832,30,0.16047027436124175,0.013010046730732538,0.15975138474266976,30,57.72554157931517,7.188804698271922,57.09905660377359,30,-41.220794233909096,6.263614428040763,-41.02722995617425,30,-36.47721821447115,9.0654601628436,-37.155870257071754,30,0.9177478605443976,0.007230180599795332,0.9175182021952871,30,0.5477325241988821,0.012492468876281606,0.5476681273015285,30,0.002336082344182692,0.0015744826257534411,0.0020314885889975653,30,0.04376016333398645,0.0047227056344343165,0.04337591414176667,0,,,,0,,,,30,0.002336082344182692,0.0015744826257534411,0.0020314885889975653
none,trace,post,30,0.03430986195803907,0.00802221405784503,0.03447039231774371,30,0.019022924438222278,0.008361244052396122,0.018272612400620267,30,0.08892966437940779,0.013153876939928585,0.0887981802567788,30,0.10010572473577214,0.019870922694654524,0.09463630940810112,30,0.07612117853619875,0.009510771326600612,0.07505422356687458,30,0.07974111888876842,0.00894748447829001,0.07909960591459272,30,0.8152173913043478,0.057018346568290246,0.8152173913043479,30,0.0,0.0,0.0,30,2.3961903721037845,0.7302734396395194,2.2206125108372885,30,0.0203107454092813,0.006000913669038243,0.019400148600861256,30,0.5202655485674396,0.7844301637869178,0.35115303983228974,30,1.6072636847985073,2.637901933212761,0.7783417117814124,30,9.771492428110143,13.187453957528083,11.27458341365657,30,1.0,0.0,1.0,30,0.7630376606048589,0.038231738633324845,0.7640872111601787,30,0.026863418026144285,0.025605951001349738,0.017463490864369297,30,0.011095005618425711,0.0032760447233978964,0.011208430894035839,0,,,,0,,,,30,0.026863418026144285,0.025605951001349738,0.017463490864369297
none,trace,pre,30,0.03430986195803907,0.00802221405784503,0.03447039231774371,30,0.019022924438222278,0.008361244052396122,0.018272612400620267,30,0.08892966437940779,0.013153876939928585,0.0887981802567788,30,0.10010572473577214,0.019870922694654524,0.09463630940810112,30,0.07612117853619875,0.009510771326600612,0.07505422356687458,30,0.07974111888876842,0.00894748447829001,0.07909960591459272,30,0.8152173913043478,0.057018346568290246,0.8152173913043479,30,0.0,0.0,0.0,30,3.419248973720398,1.3915654281378618,3.3475132534208427,30,0.02481548035120702,0.007926519896776976,0.023282915405099774,30,-0.6918238993710657,3.0895740103218414,-0.15723270440252354,30,2.992510956432052,10.062650933976684,0.4872389791183547,30,4.437174123564058,15.814891216267847,-1.2053693726605568,30,1.0,0.0,1.0,30,0.7630376606048589,0.038231738633324845,0.7640872111601787,30,0.026863418026144285,0.025605951001349738,0.017463490864369297,30,0.011095005618425711,0.0032760447233978964,0.011208430894035839,0,,,,0,,,,30,0.026863418026144285,0.025605951001349738,0.017463490864369297
patient,independent,post,30,0.07446619366037067,0.0012437926333239279,0.07427654616803797,30,0.038282919479524787,0.017265391484652816,0.03492402737632403,30,0.7195748289873746,0.026559536219920438,0.7141040688575897,30,0.7397157175781612,0.03867488703733829,0.7432828282828283,30,0.49881147809111465,0.01949664649743743,0.5026666535730586,30,0.5149763983012272,0.021478166829415734,0.5208318268888065,30,0.24582719412961276,0.023409490420866437,0.25,30,0.593618496514545,0.03482919618478696,0.5987642549296311,30,5.824475167210195,1.4613050214125298,5.654425317312503,30,0.03903052177971586,0.0027535186168620167,0.03903853676301977,30,-1.8010053735482807,0.1687953552318546,-1.8681747269890931,30,3.0098571565450816,1.531318181119265,2.531970131896977,30,-18.61638383100442,19.8614107676609,-21.11921726486036,30,0.7105711982155886,0.0285515938335229,0.7123041618608228,30,0.38922523629761174,0.024555006538202508,0.3893677145884846,30,0.0015925800883426523,0.0029286093341680903,0.0,30,0.21180297580922958,0.09797140141288004,0.20065369326463045,30,0.01799734848891558,0.0,0.01799734848891558,30,11.768565571738375,5.443657518396103,11.14906973036675,30,0.0015925800883426523,0.0029286093341680903,0.0
patient,independent,pre,30,0.07446619366037067,0.0012437926333239279,0.07427654616803797,30,0.038282919479524787,0.017265391484652816,0.03492402737632403,30,0.7195748289873746,0.026559536219920438,0.7141040688575897,30,0.7397157175781612,0.03867488703733829,0.7432828282828283,30,0.49881147809111465,0.01949664649743743,0.5026666535730586,30,0.5149763983012272,0.021478166829415734,0.5208318268888065,30,0.24582719412961276,0.023409490420866437,0.25,30,0.593618496514545,0.03482919618478696,0.5987642549296311,30,15.592642135172385,2.9380991056324293,15.952162251941978,30,0.19068979126580435,0.024685869329438503,0.1905263270809489,30,70.05044201768071,18.88643312447027,70.38351534061363,30,-36.38941718522833,17.340900217959817,-40.64624095825731,30,-34.49765570690379,29.37845621160443,-43.43083841886537,30,0.7105711982155886,0.0285515938335229,0.7123041618608228,30,0.38922523629761174,0.024555006538202508,0.3893677145884846,30,0.0015925800883426523,0.0029286093341680903,0.0,30,0.21180297580922958,0.09797140141288004,0.20065369326463045,30,0.01799734848891558,0.0,0.01799734848891558,30,11.768565571738375,5.443657518396103,11.14906973036675,30,0.0015925800883426523,0.0029286093341680903,0.0
patient,markov,post,30,0.07446619366037067,0.0012437926333239279,0.07427654616803797,30,0.038282919479524787,0.017265391484652816,0.03492402737632403,30,0.2781863103449877,0.032467959030432904,0.27047672508480836,30,0.3338169755512156,0.042894456167227424,0.3262708052181736,30,0.25448232923813474,0.014442446940880444,0.2540154572520885,30,0.26801136467612097,0.014131705658179729,0.2658463832960476,30,0.38315244861480846,0.043685857147433504,0.3908562367864693,30,0.18440644630976363,0.02941642185076025,0.18157766199934874,30,5.545379401529813,1.1023043950745912,5.54151642535717,30,0.040280607658511366,0.0032544985420551497,0.03945804217202098,30,-1.7879181833940065,0.18331605420854447,-1.8499739989599608,30,4.597986829998886,2.8868775294604005,3.2928087383496623,30,-21.333344392662912,17.211671747618933,-23.521160972267484,30,0.9002919052403047,0.019309355348006173,0.9031798245614036,30,0.49525291538164234,0.021939504669219154,0.4941153706064469,30,0.0017152294035390316,0.0019594091922923943,0.0,30,0.07673872315008193,0.013760362019976616,0.07545397232206688,30,0.01799734848891558,0.0,0.01799734848891558,30,4.263890494610618,0.7645771836029905,4.192504933076023,30,0.0017152294035390316,0.0019594091922923943,0.0
patient,markov,pre,30,0.07446619366037067,0.0012437926333239279,0.07427654616803797,30,0.038282919479524787,0.017265391484652816,0.03492402737632403,30,0.2781863103449877,0.032467959030432904,0.27047672508480836,30,0.3338169755512156,0.042894456167227424,0.3262708052181736,30,0.25448232923813474,0.014442446940880444,0.2540154572520885,30,0.26801136467612097,0.014131705658179729,0.2658463832960476,30,0.38315244861480846,0.043685857147433504,0.3908562367864693,30,0.18440644630976363,0.02941642185076025,0.18157766199934874,30,16.011697901484514,3.7542587519808155,16.826212507924694,30,0.19202473381159774,0.02319388917551912,0.19125492077172745,30,64.16814005893568,11.517094928555473,62.849713988559536,30,-37.54926718844404,13.072733272394506,-36.15927248672037,30,-45.67369038011523,16.2559273955876,-46.55187609971185,30,0.9002919052403047,0.019309355348006173,0.9031798245614036,30,0.49525291538164234,0.021939504669219154,0.4941153706064469,30,0.0017152294035390316,0.0019594091922923943,0.0,30,0.07673872315008193,0.013760362019976616,0.07545397232206688,30,0.01799734848891558,0.0,0.01799734848891558,30,4.263890494610618,0.7645771836029905,4.192504933076023,30,0.0017152294035390316,0.0019594091922923943,0.0
