Split,Model,Stage,Seeds,DFG TV,Variant TV,Activity TV,Wasserstein (h),P99 error (%),Sequence copy rate,DCR ratio
none,independent,post,30,0.692 ± 0.020,0.443 ± 0.011,0.001 ± 0.000,4.15 ± 1.20,-22.8 ± 10.3,0.721,n/a
none,independent,pre,30,0.692 ± 0.020,0.443 ± 0.011,0.001 ± 0.000,15.49 ± 2.14,-33.0 ± 13.4,0.721,n/a
none,markov,post,30,0.140 ± 0.013,0.133 ± 0.010,0.001 ± 0.000,4.36 ± 1.05,-25.5 ± 8.9,0.918,n/a
none,markov,pre,30,0.140 ± 0.013,0.133 ± 0.010,0.001 ± 0.000,16.39 ± 1.97,-36.5 ± 9.1,0.918,n/a
none,trace,post,30,0.089 ± 0.013,0.076 ± 0.010,0.034 ± 0.008,2.40 ± 0.73,9.8 ± 13.2,1.000,n/a
none,trace,pre,30,0.089 ± 0.013,0.076 ± 0.010,0.034 ± 0.008,3.42 ± 1.39,4.4 ± 15.8,1.000,n/a
patient,independent,post,30,0.720 ± 0.027,0.499 ± 0.019,0.074 ± 0.001,5.82 ± 1.46,-18.6 ± 19.9,0.711,11.77
patient,independent,pre,30,0.720 ± 0.027,0.499 ± 0.019,0.074 ± 0.001,15.59 ± 2.94,-34.5 ± 29.4,0.711,11.77
patient,markov,post,30,0.278 ± 0.032,0.254 ± 0.014,0.074 ± 0.001,5.55 ± 1.10,-21.3 ± 17.2,0.900,4.26
patient,markov,pre,30,0.278 ± 0.032,0.254 ± 0.014,0.074 ± 0.001,16.01 ± 3.75,-45.7 ± 16.3,0.900,4.26
patient,trace,post,30,0.258 ± 0.038,0.233 ± 0.031,0.097 ± 0.018,5.62 ± 1.48,-7.2 ± 20.1,1.000,1.20
patient,trace,pre,30,0.258 ± 0.038,0.233 ± 0.031,0.097 ± 0.018,8.60 ± 3.86,-17.9 ± 19.7,1.000,1.20
temporal,independent,post,30,0.750 ± 0.033,0.545 ± 0.018,0.222 ± 0.002,11.17 ± 2.78,45.3 ± 37.5,0.745,1.86
temporal,independent,pre,30,0.750 ± 0.033,0.545 ± 0.018,0.222 ± 0.002,17.60 ± 2.87,-21.4 ± 30.9,0.745,1.86
temporal,markov,post,30,0.387 ± 0.029,0.358 ± 0.022,0.222 ± 0.002,11.13 ± 1.94,48.0 ± 32.2,0.923,0.61
temporal,markov,pre,30,0.387 ± 0.029,0.358 ± 0.022,0.222 ± 0.002,16.67 ± 3.99,-16.4 ± 25.8,0.923,0.61
temporal,trace,post,30,0.375 ± 0.038,0.366 ± 0.021,0.250 ± 0.024,13.45 ± 3.06,79.7 ± 32.7,1.000,0.22
temporal,trace,pre,30,0.375 ± 0.038,0.366 ± 0.021,0.250 ± 0.024,14.87 ± 5.23,42.9 ± 41.0,1.000,0.22
